ticker,exchange,assetType,priceCurrency,startDate,endDate
LACQU,NASDAQ,Stock,USD,12/1/17,8/11/20
BOXL,NASDAQ,Stock,USD,11/30/17,8/11/20
EVFTC,NASDAQ,Stock,USD,11/30/17,7/25/19
WSC,NASDAQ,Stock,USD,11/30/17,8/11/20
OKDCC,NASDAQ,Stock,USD,11/29/17,8/26/19
RBBN,NASDAQ,Stock,USD,11/29/17,8/11/20
RETO,NASDAQ,Stock,USD,11/29/17,8/11/20
ATGI,NASDAQ,Stock,USD,11/24/17,5/2/18
KZIA,NASDAQ,Stock,USD,11/24/17,8/11/20
BRPAU,NASDAQ,Stock,USD,11/20/17,8/11/20
LOOP,NASDAQ,Stock,USD,11/20/17,8/11/20
AMRHW,NASDAQ,Stock,USD,11/17/17,8/11/20
HYAC,NASDAQ,Stock,USD,11/17/17,8/11/20
HYACW,NASDAQ,Stock,USD,11/17/17,8/11/20
SCPH,NASDAQ,Stock,USD,11/17/17,8/11/20
SFIX,NASDAQ,Stock,USD,11/17/17,8/11/20
ASNS,NASDAQ,Stock,USD,11/16/17,3/13/19
MBFIO,NASDAQ,Stock,USD,11/16/17,3/22/19
XFOR,NASDAQ,Stock,USD,11/16/17,8/11/20
KARE,NASDAQ,Stock,USD,11/15/17,8/11/20
ARTL,NASDAQ,Stock,USD,11/14/17,8/11/20
FBIOP,NASDAQ,Stock,USD,11/14/17,8/11/20
SBLKZ,NASDAQ,Stock,USD,11/13/17,8/11/20
BAND,NASDAQ,Stock,USD,11/10/17,8/11/20
APLS,NASDAQ,Stock,USD,11/9/17,8/11/20
CBTX,NASDAQ,Stock,USD,11/8/17,8/11/20
IFRX,NASDAQ,Stock,USD,11/7/17,8/11/20
MRBK,NASDAQ,Stock,USD,11/7/17,8/11/20
CMSSR,NASDAQ,Stock,USD,11/6/17,5/1/19
KXIN,NASDAQ,Stock,USD,11/6/17,8/11/20
MAXW,NASDAQ,Stock,USD,11/6/17,5/30/18
ACMR,NASDAQ,Stock,USD,11/3/17,8/11/20
STNLU,NASDAQ,Stock,USD,11/3/17,11/7/19
ALNA,NASDAQ,Stock,USD,11/2/17,8/11/20
CMNT,NASDAQ,Stock,USD,11/2/17,8/11/20
FNKO,NASDAQ,Stock,USD,11/2/17,8/11/20
ALTR,NASDAQ,Stock,USD,11/1/17,8/11/20
FSCT,NASDAQ,Stock,USD,10/27/17,8/11/20
MBIN,NASDAQ,Stock,USD,10/27/17,8/11/20
CMSSU,NASDAQ,Stock,USD,10/26/17,5/1/19
EYE,NASDAQ,Stock,USD,10/26/17,8/11/20
AESE,NASDAQ,Stock,USD,10/25/17,8/11/20
BRACR,NASDAQ,Stock,USD,10/25/17,8/9/19
GMLPP,NASDAQ,Stock,USD,10/25/17,8/11/20
HYACU,NASDAQ,Stock,USD,10/25/17,8/11/20
FAT,NASDAQ,Stock,USD,10/23/17,8/11/20
ABLX,NASDAQ,Stock,USD,10/20/17,6/22/18
LYL,NASDAQ,Stock,USD,10/20/17,8/11/20
